id,last_scraped,host_location,neighbourhood_group_cleansed,latitude,longitude,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,reviews_per_month
21974,2020-10-13,"Barcelona, Catalonia, Spain",Ciutat Vella,41.37973,2.17631,1.0,1.0,$55.00,t,4,23,49,139,2020-10-13,2,100.0,0.05
23197,2020-10-17,"Catalonia, Spain",Sant Martí,41.41291,2.22063,3.0,5.0,$180.00,t,30,60,90,358,2020-10-17,52,95.0,0.45
32711,2020-10-15,"Barcelona, Catalonia, Spain",Gràcia,41.40566,2.17015,2.0,3.0,$109.00,t,0,0,0,0,2020-10-15,63,86.0,0.56
34241,2020-10-12,"Barcelona, Catalonia, Spain",Ciutat Vella,41.37916,2.17535,1.0,1.0,$40.00,t,0,0,0,0,2020-10-12,8,68.0,0.06
34981,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.37978,2.17623,4.0,6.0,$131.00,t,0,0,2,92,2020-10-15,149,91.0,1.22
35318,2020-10-13,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38145,2.17544,1.0,2.0,$69.00,t,30,60,90,180,2020-10-13,242,94.0,2.12
35379,2020-10-15,"Barcelona, Cataluña, Spain",Eixample,41.39036,2.15274,1.0,1.0,$17.00,t,20,22,34,305,2020-10-15,317,94.0,3.03
35388,2020-10-15,"Barcelona, Cataluña, Spain",Eixample,41.3921,2.1511,1.0,1.0,$12.00,t,15,39,69,340,2020-10-15,260,95.0,2.28
35390,2020-10-17,"Barcelona, Cataluña, Spain",Eixample,41.39071,2.15052,1.0,1.0,$13.00,t,25,55,85,356,2020-10-17,274,96.0,2.67
35392,2020-10-15,"Barcelona, Cataluña, Spain",Eixample,41.39202,2.15181,1.0,1.0,$18.00,t,25,55,85,356,2020-10-15,232,95.0,3.13
36763,2020-10-13,"Barcelona, Cataluña, Spain",Ciutat Vella,41.379059999999996,2.19141,1.0,1.0,$34.00,t,29,59,89,364,2020-10-13,73,94.0,0.66
40983,2020-10-17,"Barcelona, Cataluña, Spain",Eixample,41.39631,2.16832,1.0,1.0,$31.00,t,0,0,0,0,2020-10-17,170,94.0,5.6
41952,2020-10-15,"Barcelona, Cataluña, Spain",Gràcia,41.40565,2.16932,2.0,4.0,$110.00,t,0,8,38,313,2020-10-15,39,88.0,0.38
46153,2020-10-13,"Catalonia, Spain",Ciutat Vella,41.388659999999994,2.1783900000000003,2.0,3.0,$30.00,t,0,0,0,226,2020-10-13,2,70.0,0.02
49213,2020-10-12,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37254,2.16539,1.0,1.0,$35.00,t,30,60,90,181,2020-10-12,48,99.0,0.55
49968,2020-10-16,"Barcelona, Catalonia, Spain",Gràcia,41.4057,2.1701599999999996,2.0,0.0,$61.00,t,1,1,1,1,2020-10-16,42,88.0,0.38
58512,2020-10-14,"Leeds, England, United Kingdom",Sant Martí,41.41129,2.18193,3.0,4.0,$95.00,t,30,60,90,331,2020-10-14,382,89.0,3.29
61444,2020-10-17,spain,Eixample,41.38901,2.16552,2.0,4.0,$105.00,t,3,3,3,228,2020-10-17,51,85.0,0.59
67065,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.39161,2.15089,4.0,7.0,$114.00,t,0,0,0,0,2020-10-13,83,85.0,0.74
68547,2020-10-13,"Barcelona, Catalonia, Spain",Ciutat Vella,41.380720000000004,2.1781099999999998,1.0,2.0,$49.00,t,30,60,90,365,2020-10-13,90,95.0,0.78
70099,2020-10-13,"Barcelona, Cataluña, Spain",Ciutat Vella,41.37828,2.1708,1.0,1.0,$28.71,t,5,32,62,337,2020-10-13,370,94.0,3.15
70333,2020-10-16,"Madrid, Madrid, Spain",Sant Martí,41.40905,2.21243,1.0,1.0,$66.00,t,0,0,0,0,2020-10-16,124,96.0,1.21
71520,2020-10-15,"Barcelona, Cataluña, Spain",Gràcia,41.41837,2.1341900000000003,3.0,5.0,$250.00,t,28,58,88,363,2020-10-15,1,100.0,0.01
71553,2020-10-16,"Barcelona, Cataluña, Spain",Eixample,41.3974,2.17682,1.0,1.0,$107.00,t,1,1,1,1,2020-10-16,49,83.0,0.42
71603,2020-10-12,"Barcelona, Cataluña, Spain",Eixample,41.39038,2.1760599999999997,2.0,4.0,$452.00,t,30,60,90,365,2020-10-12,37,93.0,0.31
71736,2020-10-12,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38321,2.16656,4.0,5.0,$60.00,t,30,60,90,365,2020-10-12,11,80.0,0.1
72436,2020-10-14,"Barcelona, Cataluña, Spain",Sant Martí,41.39909,2.20733,1.0,1.0,$73.00,t,29,59,89,350,2020-10-14,339,96.0,4.52
72793,2020-10-12,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38248,2.16415,1.0,2.0,$50.00,t,30,60,90,365,2020-10-12,2,100.0,0.02
72794,2020-10-16,"Barcelona, Cataluña, Spain",Ciutat Vella,41.382940000000005,2.16534,2.0,2.0,$50.00,t,30,60,90,365,2020-10-16,8,87.0,0.07
73455,2020-10-16,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38422,2.16701,2.0,4.0,$110.00,t,0,0,0,241,2020-10-16,117,87.0,1.3
73683,2020-10-15,"Barcelona, Catalonia, Spain",Gràcia,41.40554,2.17017,4.0,14.0,$218.00,t,0,0,0,0,2020-10-15,164,91.0,1.44
73692,2020-10-13,spain,Eixample,41.39108,2.1652099999999996,2.0,3.0,$105.00,t,0,0,14,263,2020-10-13,42,82.0,0.42
73693,2020-10-16,spain,Sants-Montjuïc,41.371629999999996,2.16591,2.0,2.0,$65.00,t,2,31,61,240,2020-10-16,49,83.0,0.63
73700,2020-10-12,spain,Sants-Montjuïc,41.37335,2.16165,2.0,2.0,$65.00,t,0,12,42,310,2020-10-12,84,82.0,0.85
75003,2020-10-17,"Barcelona, Cataluña, Spain",Eixample,41.40399,2.17802,2.0,3.0,$169.00,t,0,0,0,0,2020-10-17,21,89.0,0.18
75411,2020-10-16,"Barcelona, Cataluña, Spain",Sant Martí,41.40825,2.18729,3.0,6.0,$115.00,t,0,0,0,0,2020-10-16,30,89.0,0.28
80004,2020-10-16,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37188,2.16656,3.0,3.0,$150.00,t,0,0,0,0,2020-10-16,127,91.0,1.11
83283,2020-10-12,caiman island,Eixample,41.38227,2.16141,1.0,0.0,$40.00,t,29,59,89,89,2020-10-12,107,87.0,0.93
89756,2020-10-13,"Barcelona, Cataluña, Spain",Ciutat Vella,41.37815,2.16894,3.0,8.0,$240.00,t,25,55,84,355,2020-10-13,16,91.0,0.17
89776,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.39377,2.1795,1.0,2.0,$93.00,t,29,59,89,357,2020-10-13,336,96.0,3.09
95719,2020-10-12,"Barcelona, Cataluña, Spain",Ciutat Vella,41.3839,2.18011,1.0,0.0,$55.00,t,30,60,90,365,2020-10-12,232,94.0,2.01
97529,2020-10-16,"Barcelona, Cataluña, Spain",Gràcia,41.40906,2.16539,1.0,1.0,$40.00,t,29,59,89,364,2020-10-16,64,95.0,0.59
100256,2020-10-15,"Barcelona, Cataluña, Spain",Ciutat Vella,41.37983,2.1924900000000003,1.0,2.0,$79.00,t,27,57,87,360,2020-10-15,61,92.0,0.6
104485,2020-10-17,"Barcelona, Cataluña, Spain",Eixample,41.39119,2.1564099999999997,1.0,1.0,$17.00,t,19,49,79,354,2020-10-17,202,89.0,1.81
107437,2020-10-15,"Barcelona, Cataluña, Spain",Sarrià-Sant Gervasi,41.42864,2.09159,4.0,6.0,$140.00,t,0,3,33,299,2020-10-15,62,95.0,0.55
109462,2020-10-12,"Barcelona, Cataluña, Spain",Gràcia,41.40313,2.166,1.0,2.0,$79.00,t,1,1,1,1,2020-10-12,10,78.0,0.51
110041,2020-10-15,"Barcelona, Cataluña, Spain",Gràcia,41.40271,2.16646,1.0,2.0,$159.00,t,30,60,90,365,2020-10-15,26,90.0,0.26
110098,2020-10-12,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38126,2.1801,1.0,1.0,$159.00,t,28,54,82,350,2020-10-12,32,91.0,0.29
112538,2020-10-16,"Barcelona, Catalonia, Spain",Eixample,41.40653,2.1746,3.0,6.0,$122.00,t,0,0,0,0,2020-10-16,80,84.0,0.7
117010,2020-10-16,"Barcelona, Catalonia, Spain",Eixample,41.40647,2.17457,3.0,5.0,$122.00,t,0,0,13,143,2020-10-16,35,90.0,0.31
118228,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.40653,2.1746,3.0,5.0,$116.00,t,0,0,18,141,2020-10-12,15,87.0,0.14
119546,2020-10-17,"Barcelona, Cataluña, Spain",Ciutat Vella,41.379690000000004,2.16532,1.0,1.0,$52.00,t,26,56,86,355,2020-10-17,316,97.0,2.76
128463,2020-10-14,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37155,2.1366400000000003,1.0,1.0,$50.00,t,0,0,0,236,2020-10-14,282,97.0,2.54
130227,2020-10-25,"Barcelona, Cataluña, Spain",Sant Martí,41.406459999999996,2.2128200000000002,1.0,1.0,$44.00,t,0,0,0,0,2020-10-25,107,94.0,1.35
135513,2020-10-16,"Barcelona, Cataluña, Spain",Sant Martí,41.39841,2.20613,2.0,3.0,$80.00,t,30,60,90,358,2020-10-16,127,93.0,1.15
136670,2020-10-14,"Barcelona, Cataluña, Spain",Les Corts,41.388459999999995,2.12351,1.0,1.0,$55.00,t,30,60,90,365,2020-10-14,128,92.0,1.16
138055,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.40653,2.1746,3.0,5.0,$105.00,t,0,0,0,0,2020-10-17,90,93.0,1.71
142121,2020-10-16,"Maur, Zurich, Switzerland",Ciutat Vella,41.38062,2.17465,2.0,2.0,$44.00,t,29,59,89,364,2020-10-16,27,87.0,0.25
144471,2020-10-12,caiman island,Eixample,41.382259999999995,2.15898,1.0,0.0,$40.00,t,30,60,90,91,2020-10-12,36,85.0,0.32
147275,2020-10-16,"Barcelona, Cataluña, Spain",Horta-Guinardó,41.42318,2.17501,1.0,1.0,$15.00,t,22,52,82,352,2020-10-16,98,83.0,1.48
153376,2020-10-16,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38792,2.17768,1.0,1.0,$65.00,t,0,0,0,0,2020-10-16,7,100.0,0.42
154281,2020-10-13,Spain,Ciutat Vella,41.377990000000004,2.1728099999999997,1.0,1.0,$50.00,t,24,54,84,359,2020-10-13,282,90.0,2.56
154437,2020-10-15,"Barcelona, Cataluña, Spain",Eixample,41.391059999999996,2.1509,1.0,1.0,$39.00,t,1,14,44,134,2020-10-15,80,98.0,0.72
155981,2020-10-15,ES,Eixample,41.3841,2.14566,1.0,1.0,$40.00,t,30,60,90,365,2020-10-15,0,,
158238,2020-10-15,"Barcelona, Cataluña, Spain",Les Corts,41.384159999999994,2.13636,4.0,5.0,"$4,670.00",t,0,0,0,0,2020-10-15,116,89.0,1.03
162091,2020-10-16,"Barcelona, Catalonia, Spain",Eixample,41.4064,2.17449,3.0,6.0,$122.00,t,0,0,13,143,2020-10-16,41,90.0,0.4
171646,2020-10-15,"Barcelona, Cataluña, Spain",Sant Martí,41.40696,2.1871099999999997,2.0,4.0,$99.00,t,0,0,0,0,2020-10-15,44,95.0,0.49
171816,2020-10-14,"Barcelona, Cataluña, Spain",Sant Martí,41.40828,2.18622,2.0,4.0,$105.00,t,12,42,72,341,2020-10-14,10,89.0,0.11
174382,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.40653,2.17455,3.0,6.0,$122.00,t,0,0,14,143,2020-10-17,10,98.0,0.94
179488,2020-10-16,"Barcelona, Cataluña, Spain",Sant Andreu,41.43425,2.19353,3.0,1.0,$22.00,t,0,0,0,0,2020-10-16,10,96.0,0.48
179550,2020-10-14,"Barcelona, Cataluña, Spain",Sant Andreu,41.43425,2.19353,3.0,0.0,$20.00,t,0,18,48,138,2020-10-14,6,93.0,0.05
179619,2020-10-15,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37151,2.13607,1.0,1.0,$27.00,t,0,0,0,0,2020-10-15,50,91.0,0.45
181824,2020-10-17,"Barcelona, Catalonia, Spain",Sant Martí,41.40681,2.20427,1.0,1.0,$39.00,t,0,0,0,1,2020-10-17,291,97.0,2.6
184516,2020-10-13,ES,Ciutat Vella,41.38199,2.1735700000000002,1.0,1.0,$50.00,t,14,44,64,168,2020-10-13,47,97.0,0.43
186540,2020-10-16,"Barcelona, Catalonia, Spain",Sant Martí,41.410759999999996,2.1907799999999997,,1.0,$36.00,t,0,0,0,0,2020-10-16,11,98.0,0.21
186542,2020-10-16,"Santa Fe, Santa Fe Province, Argentina",Eixample,41.39326,2.17386,1.0,1.0,$33.00,t,1,1,1,1,2020-10-16,49,96.0,0.44
188267,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.393679999999996,2.17614,3.0,3.0,$172.00,t,30,60,90,365,2020-10-13,81,94.0,0.74
190348,2020-10-12,ES,Les Corts,41.39009,2.12588,1.0,1.0,$46.00,t,0,0,0,0,2020-10-12,1,100.0,0.02
193923,2020-10-14,"Barcelona, Cataluña, Spain",Horta-Guinardó,41.43846,2.1556,1.0,1.0,$20.00,t,26,56,86,361,2020-10-14,126,98.0,1.13
194460,2020-10-17,"Barcelona, Catalonia, Spain",Sant Martí,41.41431,2.21686,1.0,1.0,$21.00,t,0,0,0,0,2020-10-17,347,93.0,3.2
196196,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.4066,2.1745900000000002,4.0,5.0,$119.00,t,18,39,66,200,2020-10-12,92,88.0,0.83
197267,2020-10-15,"Barcelona, Catalonia, Spain",Gràcia,41.405229999999996,2.15187,1.0,2.0,$25.00,t,0,0,12,255,2020-10-15,343,90.0,3.19
198958,2020-10-17,"Barcelona, Cataluña, Spain",Sant Martí,41.40854,2.21368,4.0,6.0,$475.00,t,26,56,78,78,2020-10-17,60,93.0,0.58
199422,2020-10-12,"Barcelona, Cataluña, Spain",Eixample,41.39598,2.1825099999999997,2.0,4.0,$75.00,t,0,0,0,0,2020-10-12,86,90.0,0.78
199794,2020-10-12,"Barcelona, Cataluña, Spain",Eixample,41.383359999999996,2.15853,1.0,1.0,$34.00,t,29,59,89,364,2020-10-12,95,96.0,1.09
206122,2020-10-15,"Barcelona, Catalonia, Spain",Gràcia,41.39877,2.1588700000000003,2.0,2.0,$96.00,t,0,0,18,240,2020-10-15,171,93.0,1.58
206167,2020-10-17,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37406,2.1652400000000003,1.0,1.0,$80.00,t,0,0,0,0,2020-10-17,89,97.0,0.82
209673,2020-10-17,"Barcelona, Cataluña, Spain",Gràcia,41.39895,2.15742,2.0,2.0,$91.00,t,26,56,86,361,2020-10-17,257,95.0,2.71
213368,2020-10-17,"Barcelona, Catalonia, Spain",Gràcia,41.413000000000004,2.1590000000000003,1.0,0.0,$55.00,t,0,0,0,0,2020-10-17,50,98.0,0.46
214970,2020-10-12,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37171,2.16412,1.0,1.0,$35.00,t,30,60,90,365,2020-10-12,144,93.0,1.42
216699,2020-10-15,"Barcelona, Cataluña, Spain",Ciutat Vella,41.384840000000004,2.1779599999999997,1.0,1.0,$42.00,t,0,13,43,318,2020-10-15,288,97.0,2.69
228638,2020-10-14,"Barcelona, Cataluña, Spain",Gràcia,41.41153,2.14695,1.0,1.0,$40.00,t,28,58,88,363,2020-10-14,18,98.0,0.18
234375,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.39909,2.17556,1.0,2.0,$43.00,t,3,14,44,319,2020-10-13,49,92.0,0.94
238266,2020-10-13,"Barcelona, Cataluña, Spain",Gràcia,41.401920000000004,2.15711,1.0,3.0,$53.00,t,30,60,90,365,2020-10-13,110,94.0,1.0
238703,2020-10-15,"Barcelona, Catalonia, Spain",Eixample,41.40653,2.1746,3.0,5.0,$122.00,t,0,0,12,143,2020-10-15,63,87.0,0.82
239821,2020-10-14,spain,Sarrià-Sant Gervasi,41.39653,2.1442,3.0,6.0,$123.00,t,20,50,80,349,2020-10-14,27,83.0,0.39
242335,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.38295,2.18791,3.0,4.0,$55.00,t,28,58,88,363,2020-10-15,4,90.0,0.04
250016,2020-10-13,"Barcelona, Catalonia, Spain",Ciutat Vella,41.38732,2.17367,3.0,5.0,$50.00,t,29,59,89,364,2020-10-13,4,70.0,0.04
252232,2020-10-15,"Tossa de Mar, Catalunya, Spain",Sant Martí,41.41626,2.20149,3.0,4.0,$55.00,t,30,60,90,365,2020-10-15,114,90.0,1.09
255195,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.38151,2.17187,1.0,2.0,$33.00,t,30,60,90,330,2020-10-15,17,85.0,0.16
256354,2020-10-16,"Barcelona, Cataluña, Spain",Gràcia,41.41446,2.13945,1.0,1.0,$23.00,t,0,14,44,319,2020-10-16,50,96.0,0.48
256628,2020-10-13,Spain,Ciutat Vella,41.376540000000006,2.17385,1.0,1.0,$40.00,t,24,54,84,359,2020-10-13,253,92.0,2.37
256677,2020-10-13,spain,Ciutat Vella,41.3801,2.17693,1.0,1.0,$60.00,t,29,59,89,364,2020-10-13,156,88.0,1.53
264125,2020-10-13,"Barcelona, Cataluña, Spain",Sant Martí,41.412420000000004,2.17624,3.0,4.0,$80.00,t,27,57,87,348,2020-10-13,242,92.0,2.31
267816,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.37781,2.18445,4.0,6.0,$900.00,t,30,60,90,363,2020-10-15,24,96.0,0.24
268017,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.393,2.1710700000000003,3.0,3.0,$140.00,t,29,59,80,211,2020-10-13,10,84.0,0.1
268022,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.393,2.1710700000000003,3.0,3.0,$237.00,t,0,0,0,49,2020-10-17,9,76.0,0.19
268417,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.376870000000004,2.1497900000000003,1.0,0.0,$36.00,t,4,9,13,44,2020-10-17,205,89.0,2.39
269467,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.40338,2.17685,,1.0,$88.00,t,30,60,90,365,2020-10-13,54,93.0,1.59
271259,2020-10-17,"Barcelona, Cataluña, Spain",Ciutat Vella,41.385870000000004,2.16485,1.0,1.0,$61.00,t,0,0,0,0,2020-10-17,42,87.0,0.39
271996,2020-10-13,"Barcelona, Cataluña, Spain",Gràcia,41.40279,2.1661200000000003,2.0,1.0,$51.00,t,25,51,76,318,2020-10-13,13,98.0,0.12
272282,2020-10-12,"Barcelona, Cataluña, Spain",Eixample,41.38347,2.15802,3.0,6.0,$290.00,t,0,13,43,215,2020-10-12,297,99.0,2.95
273229,2020-10-15,"Barcelona, Cataluña, Spain",Eixample,41.37704,2.15782,1.0,0.0,$60.00,t,13,43,73,229,2020-10-15,136,92.0,1.33
273932,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.3895,2.15769,2.0,2.0,$85.00,t,0,0,22,29,2020-10-13,175,92.0,1.66
275336,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.382940000000005,2.15728,3.0,4.0,$107.00,t,0,11,41,312,2020-10-12,97,94.0,0.98
275346,2020-10-15,"Barcelona, Catalonia, Spain",Sarrià-Sant Gervasi,41.3924,2.1231400000000002,3.0,6.0,$127.00,t,0,0,0,263,2020-10-15,42,93.0,0.42
275350,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.3796,2.17352,3.0,4.0,$112.63,t,30,60,90,365,2020-10-15,50,92.0,0.62
275889,2020-10-17,"Barcelona, Catalonia, Spain",Ciutat Vella,41.38191,2.1714,1.0,1.0,$69.00,t,30,60,90,179,2020-10-17,9,80.0,0.09
276324,2020-10-13,"Barcelona, Cataluña, Spain",Gràcia,41.40098,2.16085,2.0,4.0,$95.00,t,30,60,90,320,2020-10-13,59,87.0,0.57
276527,2020-10-14,"Barcelona, Cataluña, Spain",Gràcia,41.42027,2.14873,2.0,5.0,$60.00,t,26,56,62,77,2020-10-14,373,92.0,3.53
282679,2020-10-17,"Barcelona, Cataluña, Spain",Eixample,41.380340000000004,2.15823,2.0,4.0,$225.00,t,30,60,90,358,2020-10-17,32,99.0,0.32
283231,2020-10-15,"Barcelona, Cataluña, Spain",Ciutat Vella,41.39121,2.18665,1.0,1.0,$64.00,t,0,29,59,314,2020-10-15,220,98.0,2.18
286105,2020-10-14,"Barcelona, Cataluña, Spain",Eixample,41.40034,2.1830000000000003,2.0,2.0,$55.00,t,0,0,11,280,2020-10-14,1,100.0,0.01
288034,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.38791,2.15064,1.0,2.0,$130.00,t,30,60,90,354,2020-10-13,19,93.0,0.18
289405,2020-10-15,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38178,2.17463,1.0,1.0,$33.00,t,0,0,0,0,2020-10-15,5,84.0,0.05
289600,2020-10-13,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38296,2.1741099999999998,1.0,2.0,$33.00,t,0,0,0,0,2020-10-13,1,,0.01
289616,2020-10-16,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38373,2.1741200000000003,1.0,1.0,$29.00,t,0,0,0,0,2020-10-16,2,70.0,0.02
289761,2020-10-16,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38292,2.17422,1.0,1.0,$27.00,t,0,0,0,0,2020-10-16,0,,
290592,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.41087,2.17644,3.0,4.0,$83.00,t,26,56,86,349,2020-10-13,234,90.0,2.27
295200,2020-10-17,"Barcelona, Cataluña, Spain",Gràcia,41.40697,2.16106,1.0,0.0,$74.00,t,6,34,36,182,2020-10-17,153,91.0,1.44
296287,2020-10-17,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38295,2.17484,1.0,1.0,$24.00,t,0,0,0,0,2020-10-17,10,73.0,0.63
297066,2020-10-17,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37383,2.16894,2.0,3.0,$51.00,t,19,49,79,354,2020-10-17,645,91.0,6.14
305213,2020-10-16,"Barcelona, Cataluña, Spain",Eixample,41.37669,2.16532,1.0,2.0,$70.00,t,30,60,90,180,2020-10-16,254,96.0,2.51
308166,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.39253,2.15888,3.0,3.0,$155.00,t,30,60,73,73,2020-10-13,176,99.0,1.68
315769,2020-10-12,"Barcelona, Cataluña, Spain",Eixample,41.405770000000004,2.1732400000000003,2.0,3.0,$110.00,t,22,52,82,352,2020-10-12,22,96.0,0.21
320506,2020-10-15,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.37186,2.16803,1.0,1.0,$109.00,t,19,49,79,334,2020-10-15,52,93.0,0.5
322268,2020-10-13,"Barcelona, Cataluña, Spain",Ciutat Vella,41.379490000000004,2.17725,2.0,3.0,$60.00,t,30,60,90,90,2020-10-13,89,97.0,0.85
323854,2020-10-16,"Barcelona, Cataluña, Spain",Eixample,41.40658,2.17549,1.0,2.0,$30.00,t,0,0,0,0,2020-10-16,21,91.0,0.2
326464,2020-10-14,"Baztan, Navarre, Spain",Nou Barris,41.43542,2.16466,1.0,1.0,$60.00,t,30,60,90,365,2020-10-14,33,99.0,0.45
330723,2020-10-17,"Barcelona, Cataluña, Spain",Ciutat Vella,41.37729,2.17225,1.0,1.0,$30.00,t,0,0,0,0,2020-10-17,58,93.0,0.57
330766,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.39074,2.17306,1.0,3.0,$92.00,t,28,58,88,363,2020-10-13,170,97.0,1.65
330957,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.398309999999995,2.1717400000000002,3.0,4.0,$67.00,t,0,0,0,0,2020-10-17,420,95.0,4.14
331026,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.3785,2.16132,1.0,1.0,$20.00,t,29,59,89,364,2020-10-12,181,95.0,1.75
337755,2020-10-15,"Barcelona, Cataluña, Spain",Sant Martí,41.39181,2.19263,1.0,2.0,$70.00,t,30,60,70,70,2020-10-15,6,100.0,0.08
342641,2020-10-15,"Barcelona, Cataluña, Spain",Sarrià-Sant Gervasi,41.42882,2.1012299999999997,1.0,2.0,$93.00,t,0,13,43,264,2020-10-15,79,93.0,0.92
343622,2020-10-14,"Barcelona, Cataluña, Spain",Sants-Montjuïc,41.3765,2.14385,1.0,6.0,$115.00,t,30,60,90,365,2020-10-14,102,88.0,1.49
343861,2020-10-13,"Barcelona, Catalonia, Spain",Gràcia,41.402190000000004,2.1631099999999996,1.0,1.0,$45.00,t,0,0,21,125,2020-10-13,23,90.0,0.36
343864,2020-10-14,"Barcelona, Catalonia, Spain",Gràcia,41.40656,2.15732,3.0,5.0,$54.00,t,30,60,90,194,2020-10-14,16,91.0,0.21
343866,2020-10-15,"Barcelona, Catalonia, Spain",Gràcia,41.40384,2.1562900000000003,2.0,2.0,$55.00,t,0,0,0,26,2020-10-15,34,85.0,0.37
343972,2020-10-13,"Knoxville, Tennessee, United States",Sants-Montjuïc,41.37142,2.14938,1.0,2.0,$30.00,t,29,59,89,364,2020-10-13,7,93.0,0.07
351395,2020-10-14,"Barcelona, Catalonia, Spain",Eixample,41.39362,2.1818299999999997,3.0,4.0,$111.00,t,0,0,0,106,2020-10-14,35,93.0,0.39
352772,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.381840000000004,2.15119,2.0,4.0,$85.00,t,16,16,16,211,2020-10-13,102,94.0,1.26
353640,2020-10-17,"Barcelona, Cataluña, Spain",Ciutat Vella,41.38109,2.17855,2.0,4.0,$80.00,t,2,17,47,277,2020-10-17,130,91.0,1.64
357576,2020-10-15,"Barcelona, Cataluña, Spain",Gràcia,41.40508,2.1549099999999997,3.0,4.0,$79.00,t,0,0,9,272,2020-10-15,211,97.0,2.09
357958,2020-10-14,"Barcelona, Cataluña, Spain",Eixample,41.38515,2.15145,1.0,2.0,$30.00,t,5,35,65,238,2020-10-14,163,97.0,1.76
359841,2020-10-15,"Barcelona, Cataluña, Spain",Sant Martí,41.40331,2.20929,2.0,2.0,$70.00,t,0,0,0,127,2020-10-15,320,94.0,4.28
363601,2020-10-13,spain,Ciutat Vella,41.37781,2.17345,1.0,1.0,$60.00,t,0,0,0,134,2020-10-13,26,84.0,0.26
364030,2020-10-12,"Barcelona, Cataluña, Spain",Eixample,41.3756,2.16127,2.0,2.0,$80.00,t,0,0,22,297,2020-10-12,282,94.0,2.7
365911,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.37977,2.15495,3.0,3.0,$80.00,t,0,0,0,105,2020-10-13,77,95.0,0.77
370665,2020-10-16,"Barcelona, Catalonia, Spain",Ciutat Vella,41.38458,2.18118,3.0,4.0,$40.00,t,30,60,90,365,2020-10-16,0,,
377161,2020-10-16,"Barcelona, Cataluña, Spain",Gràcia,41.41895,2.14928,2.0,3.0,$60.00,t,0,0,0,0,2020-10-16,383,93.0,3.71
379868,2020-10-17,"Barcelona, Cataluña, Spain",Eixample,41.4055,2.17124,1.0,1.0,$25.00,t,28,58,88,178,2020-10-17,312,95.0,3.06
384063,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.39606,2.17605,3.0,4.0,$160.00,t,30,60,86,351,2020-10-13,9,71.0,0.09
384155,2020-10-17,"Madrid, Community of Madrid, Spain",Ciutat Vella,41.38333,2.18125,2.0,5.0,$61.00,t,0,0,0,0,2020-10-17,70,89.0,0.69
384464,2020-10-13,"Barcelona, Cataluña, Spain",Eixample,41.38855,2.16942,1.0,1.0,$110.00,t,10,40,70,345,2020-10-13,93,99.0,0.9
